Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Nick Toon,1,WR,"6'3""",,R-Jr.,"Middleton, Wis.",Middleton,2010
Jay Valai,2,DB,"5'9""",,R-Sr.,"Euless, Texas",Colleyville Heritage,2010
Kyle Jefferson,3,WR,"6'4""",,Sr.,"Cleveland, Ohio",Glenville,2010
Jameson Wright,3,DB,"6'1""",,Fr.,"Fort Pierce, Fla.",,2010
Jared Abbrederis,4,WR,"6'2""",,R-Fr.,"Wautoma, Wis.",Wautoma,2010
Jon Budmayr,5,QB,"6'0""",,R-Fr.,"Woodstock, Ill",Marian Central Catholic,2010
Andrew Lukasko,5,DB,"5'10""",,R-Jr.,"Edgar, Wis.",Edgar,2010
Isaac Anderson,6,WR,"5'10""",,R-Sr.,"Minneapolis, Minn.",The Blake School,2010
Aaron Henry,7,DB,"6'0""",,R-Jr.,"Immokalee, Fla.",Immokalee,2010
Isaiah Williams,8,WR,"6'1""",,Fr.,"Miami, Fla.",Monsignor Edward Pace,2010
Blake Sorensen,9,LB,"6'1""",,Sr.,"Eden Prairie, Minn.",Eden Prairie,2010
Curt Phillips,10,QB,"6'3""",,R-So.,"Kingsport, Tenn.",Sullivan South,2010
Devin Smith,10,DB,"5'11""",,Jr.,"Coppell, Texas",Coppell,2010
Joe Brennan,11,QB,"6'3""",,Fr.,"Audubon, N.J.",,2010
David Gilbert,11,DL,"6'4""",,So.,"Coral Springs, Fla.",Northeast,2010
Dezmen Southward,12,DB,"6'2""",,R-Fr.,"Sunrise, Fla.",St. Thomas Aquinas,2010
Nate Tice,12,QB,"6'5""",,R-Jr.,"Edina, Minn.",Edina,2010
Conor O'Neill,13,DB,"6'0""",,R-Fr.,"Delray Beach,                                                            Fla.",,2010
Zach Schmidt,13,WR,"5'11""",,Fr.,"Oshkosh, Wis.",,2010
Marcus Cromartie,14,DB,"6'1""",,R-So.,"Mansfield, Texas",Timberview,2010
Drew McAdams,14,QB,"6'0""",,Fr.,"Madison, Wis.",,2010
Jeff Duckworth,15,WR,"6'0""",,R-Fr.,"Cincinnati, Ohio",Princeton,2010
Culmer St. Jean,15,LB,"6'0""",,R-Sr.,"Naples, Fla.",Lely,2010
Chukwuma Offor,16,WR,"6'0""",,R-Jr.,"Madison, Wis.",LaFollette,2010
Scott Tolzien,16,QB,"6'3""",,R-Sr.,"Rolling Meadows, Ill.",Palatine Fremd,2010
A.J. Fenton,17,LB,"6'1""",,R-Fr.,"Erie, Pa.",McDowell,2010
Connor Moutvic,17,WR,"6'0""",,Fr.,"Lake Forest, Ill.",,2010
Philip Welch,18,K,"6'3""",,R-Jr.,"Fort Collins, Colo.",Fort Collins,2010
Manasseh Garner,19,WR,"6'2""",,Fr.,"Pittsburgh, Pa.",,2010
James White,20,RB,"5'10""",,Fr.,"Fort Lauderdale, Fla.",St. Thomas Aquinas,2010
Peniel Jean,21,DB,"5'11""",,Fr.,"West Palm Beach, Fla.",Palm Beach Central,2010
Darius Feaster,22,DB,"5'11""",,R-Fr.,"Mequon, Wis.",Homestead,2010
Jeffrey Lewis,22,RB,"6'2""",,Fr.,"Brookfield, Wis.",Central,2010
Jerry Ponio,23,DB,"6'1""",,R-Fr.,"Chicago, Ill.",St. Rita,2010
Shelton Johnson,24,DB,"6'0""",,R-So.,"Carrollton, Texas",Hebron,2010
Adam Hampton,25,DB,"5'11""",,R-Jr.,"Lancaster, Wis.",Lancaster,2010
Antonio Fenelus,26,DB,"5'9""",,Jr.,"Boca Raton, Fla.",Boca Raton,2010
Kyle Zuleger,27,RB,"5'11""",,R-Fr.,"Appleton, Wis.",East,2010
Montee Ball,28,RB,"5'11""",,So.,"Wentzville, Mo.",Timberland,2010
Coddye Ring-Noonan,28,LB,"5'10""",,R-So.,"Madison, Wis.",East,2010
Niles Brinkley,29,DB,"5'10""",,R-Sr.,"St. Louis, Mo.",Beaumont,2010
Zach Brown,30,RB,"5'10""",,Sr.,"Royal Palm, Fla.",Royal Palm Beach,2010
Connor Cummins,31,WR,"6'1""",,Fr.,"Kettering, Ohio",Archbishop Alter,2010
Josh Peprah,31,DB,"5'11""",,R-Fr.,"McKinney, Texas",Plano East,2010
John Clay,32,RB,"6'1""",,R-Jr.,"Racine, Wis.",Washington Park,2010
Bradie Ewing,34,RB,"6'0""",,Jr.,"Richland Center, Wis.",Richland Center,2010
Ethan Armstrong,36,LB,"6'2""",,R-Fr.,"Ottawa, Ill.",Ottawa Township,2010
Kevin Claxton,37,LB,"6'1""",,Jr.,"Ft. Lauderdale, Fla.",Boyd Anderson,2010
Cameron Ontko,38,LB,"5'11""",,Fr.,"Seven Hills, Ohio",,2010
Konrad Zagzebski,39,DL,"6'3""",,Fr.,"Weston, Wis.",D.C. Everest,2010
Kevin Rouse,41,LB,"6'0""",,R-Jr.,"Yorkville, Ill.",Joliet Catholic Academy,2010
Cody Byers,42,LB,"6'2""",,Fr.,"Centerville, Ohio",Archbishop Alter,2010
Jason Hengel,42,FB,"6'2""",,Fr.,"La Crosse, Wis.",,2010
Michael Trotter,43,DB,"6'0""",,Fr.,"Racine, Wis.",Marquette,2010
Chris Borland,44,LB,"5'11""",,So.,"Kettering, Ohio",Archbishop Alter,2010
Warren Herring,45,DL,"6'3""",,Fr.,"Fairview Heights, Ill.",Belleville East,2010
Zach Davison,46,TE,"6'4""",,R-So.,"Waukee, Iowa",Waukee,2010
Willie Resop,46,LB,"6'1""",,Fr.,"Appleton, Wis.",,2010
Frank Tamakloe,47,DB,"6'3""",,Fr.,Washington D.C.,,2010
Jacob Pedersen,48,TE,"6'4""",,R-Fr.,"Menominee, Mich.",Menominee,2010
Brian Wozniak,49,TE,"6'4""",,R-Fr.,"Loveland, Ohio",Loveland,2010
Josh Harrison,50,LB,"6'0""",,Fr.,"Huber Heights, Ohio",Wayne,2010
Tyler Dippel,51,DL,"6'4""",,R-Fr.,"Slinger, Wis.",Hartford,2010
Nick Hill,52,LB,"6'2""",,R-Fr.,"Milwaukee, Wis.",Washington,2010
Mike Taylor,53,LB,"6'2""",,R-So.,"Ashwaubenon, Wis.",Ashwaubenon,2010
Kyle Costigan,54,DL,"6'4""",,Fr.,"Wind Lake, Wis.",Muskego,2010
Eriks Briedis,55,DL,"6'4""",,R-So.,"Miami, Fla.",Country Day,2010
Riki Kodanko,56,OL,"6'9""",,Fr.,"Green Bay, Wis.",West De Pere,2010
James McGuire,56,LS,"6'1""",,Fr.,"St. Paul, Minn.",Cretin-Derham Hall,2010
Marcus Krien,57,LS,"6'1""",,Fr.,"Burlington, Wis.",,2010
Ben Ruechel,57,LB,"6'1""",,Fr.,"Oconto, Wis.",Oconto,2010
Jacob Ninneman,58,DL,"6'1""",,Fr.,"Oregon, Wis.",Oregon,2010
Ricky Wagner,58,OL,"6'6""",,R-So.,"West Allis, Wis.",Nathan Hale,2010
Marcus Trotter,59,LB,"6'0""",,Fr.,"Racine, Wis.",Marquette,2010
Jake Current,60,OL,"6'3""",,Jr.,"Troy, Ohio",Troy,2010
Sam Edmiston,61,OL,"6'7""",,R-Fr.,"Cincinnati, Ohio",St. Xavier,2010
Kyle Wojta,62,LS,"6'2""",,R-Jr.,"Madison, Wis.",LaFollette,2010
Casey Dehn,63,OL,"6'6""",,R-Fr.,"Owatonna, Minn.",Owatonna,2010
Robert Burge,64,OL,"6'7""",,R-So.,"Holmen, Wis.",Holmen,2010
Jake Irwin,65,DL,"6'4""",,Fr.,"Waunakee, Wis.",,2010
Peter Konz,66,OL,"6'5""",,R-So.,"Neenah, Wis.",Neenah,2010
Josh Oglesby,67,OL,"6'7""",,R-Jr.,"Milwaukee, Wis.",St. Francis,2010
Gabe Carimi,68,OL,"6'7""",,R-Sr.,"Cottage Grove, Wis.",Monona Grove,2010
Kevin Zeitler,70,OL,"6'4""",,Jr.,"Waukesha, Wis.",Wisconsin Lutheran,2010
Travis Frederick,72,OL,"6'4""",,So.,"Sharon, Wis.",Big Foot,2010
Dallas Lewallen,73,OL,"6'6""",,Fr.,"Berlin, Wis.",Berlin,2010
John Moffitt,74,OL,"6'5""",,R-Sr.,"Guilford, Conn.",West Haven Notre Dame,2010
Zac Matthias,75,OL,"6'5""",,R-Fr.,"Hemlock, Mich.",Hemlock,2010
Bill Nagy,76,OL,"6'3""",,R-Sr.,"Hudson, Ohio",Hudson,2010
Bryce Gilbert,77,DL,"6'1""",,Fr.,"Brookfield, Wis.",Central,2010
Rob Havenstein,78,OL,"6'8""",,Fr.,"Mount Airy, Md.",Linganore,2010
Ryan Groy,79,OL,"6'5""",,R-Fr.,"Middleton, Wis.",Middleton,2010
Rob Korslin,81,TE,"6'4""",,R-Jr.,"Brookfield, Wis.",Central,2010
Jake Byrne,82,TE,"6'4""",,Jr.,"Rogers, Ark.",Rogers,2010
Lance Kendricks,84,TE,"6'4""",,R-Sr.,"Milwaukee, Wis.",Rufus King,2010
David Gilreath,85,WR,"5'11""",,Sr.,"New Hope, Minn.",Robbinsdale Armstrong,2010
Sherard Cadogan,86,TE,"6'3""",,Fr.,"Washington Township, N.J.",Camden Catholic,2010
Ethan Hemer,87,DL,"6'6""",,R-Fr.,"Medford, Wis.",Medford,2010
Marquis Mason,87,WR,"6'4""",,Fr.,"Madison, Wis.",East,2010
Chase Hammond,89,WR,"6'5""",,Fr.,"Youngstown, Ohio",Boardman,2010
Anthony Mains,90,DL,"6'6""",,R-So.,"Naples, Fla.",Golden Gate,2010
Ryan Wickesberg,90,P,"6'1""",,R-Jr.,"Saukville, Wis.",Cedarburg,2010
Jordan Kohout,91,DL,"6'3""",,R-Fr.,"Waupun, Wis.",Waupun,2010
Pat Muldoon,92,DL,"6'3""",,R-Fr.,"Mason, Ohio",Saint Xavier,2010
Louis Nzegwu,93,DL,"6'4""",,R-Jr.,"Platteville, Wis.",Platteville,2010
Kyle French,94,K,"6'1""",,Fr.,"Menomonee Falls, Wis.",Menomonee Falls,2010
Joseph McNamara,94,DL,"6'1""",,Fr.,"Pembroke Pines, Fla.",Cypress Bay,2010
Patrick Butrym,95,DL,"6'4""",,R-Jr.,"New Berlin, Wis.",Waukesha Catholic Memorial,2010
Beau Allen,96,DL,"6'3""",,Fr.,"Minnetonka, Minn.",Minnetonka,2010
Alec Lerner,96,K,"5'7""",,R-Fr.,"Omaha, Neb.",Burke,2010
Brendan Kelly,97,DL,"6'6""",,R-So.,"Eden Prairie, Minn.",Holy Angels,2010
Brad Nortman,98,P,"6'3""",,Jr.,"Brookfield, Wis.",Central,2010
J.J. Watt,99,DL,"6'6""",,R-Jr.,"Pewaukee, Wis.",Pewaukee,2010
Nick Toon,1,WR,"6'3""",,R-Sr.,"Middleton, Wis.",Middleton,2011
Joel Stave,2,QB,"6'5""",,Fr.,"Greenfield, Wis.",Whitnall,2011
Melvin Gordon,3,RB,"6'1""",,Fr.,"Kenosha, Wis.",Bradford,2011
Jameson Wright,3,DB,"6'1""",,R-Fr.,"Fort Pierce, Fla.",,2011
Jared Abbrederis,4,WR,"6'2""",,R-So.,"Wautoma, Wis.",Wautoma,2011
Jon Budmayr,5,QB,"6'0""",,R-So.,"Woodstock, Ill",Marian Central Catholic,2011
Andrew Lukasko,5,DB,"5'10""",,R-Sr.,"Edgar, Wis.",Edgar,2011
Kenzel Doe,6,WR,"5'8""",,Fr.,"Reidsville, N.C.",Reidsville,2011
Aaron Henry,7,DB,"6'0""",,R-Sr.,"Immokalee, Fla.",Immokalee,2011
Tyler Leonhard,8,DB,"5'11""",,Fr.,"Tony, Wis.",,2011
Isaiah Williams,8,WR,"6'1""",,R-Fr.,"Miami, Fla.",Monsignor Edward Pace,2011
Kevin Claxton,9,LB,"6'1""",,Sr.,"Ft. Lauderdale, Fla.",Boyd Anderson,2011
Curt Phillips,10,QB,"6'3""",,R-Jr.,"Kingsport, Tenn.",Sullivan South,2011
Devin Smith,10,DB,"5'11""",,Sr.,"Coppell, Texas",Coppell,2011
Joe Brennan,11,QB,"6'3""",,R-Fr.,"Audubon, N.J.",,2011
David Gilbert,11,DL,"6'4""",,Jr.,"Coral Springs, Fla.",Northeast,2011
Dezmen Southward,12,DB,"6'2""",,R-So.,"Sunrise, Fla.",St. Thomas Aquinas,2011
Nate Tice,12,QB,"6'5""",,R-Sr.,"Edina, Minn.",Edina,2011
Lance Baretz,13,WR,"5'11""",,Fr.,"Franklin, Wis.",Franklin,2011
Conor O'Neill,13,LB,"6'0""",,R-So.,"Delray Beach,                                                            Fla.",,2011
Marcus Cromartie,14,DB,"6'1""",,R-Jr.,"Mansfield, Texas",Timberview,2011
Drew McAdams,14,WR,"6'0""",,R-Fr.,"Madison, Wis.",,2011
Jeff Duckworth,15,WR,"6'0""",,R-So.,"Cincinnati, Ohio",Princeton,2011
Chukwuma Offor,16,WR,"6'0""",,R-Sr.,"Madison, Wis.",LaFollette,2011
Russell Wilson,16,QB,"5'11""",,R-Sr.,"Richmond, Va.",,2011
A.J. Fenton,17,LB,"6'1""",,R-So.,"Erie, Pa.",McDowell,2011
Derek Hasanoglu,17,WR,"6'4""",,Fr.,"Waukesha, Wis.",,2011
Philip Welch,18,K,"6'3""",,R-Sr.,"Fort Collins, Colo.",Fort Collins,2011
Manasseh Garner,19,WR,"6'2""",,So.,"Pittsburgh, Pa.",,2011
James White,20,RB,"5'10""",,So.,"Fort Lauderdale, Fla.",St. Thomas Aquinas,2011
Peniel Jean,21,DB,"5'11""",,R-Fr.,"West Palm Beach, Fla.",Palm Beach Central,2011
Darius Feaster,22,DB,"5'11""",,R-So.,"Mequon, Wis.",Homestead,2011
Jeffrey Lewis,22,RB,"6'2""",,R-Fr.,"Brookfield, Wis.",Central,2011
Jordan Fredrick,23,WR,"6'3""",,Fr.,"Madison, Wis.",Memorial,2011
Jerry Ponio,23,DB,"6'1""",,R-So.,"Chicago, Ill.",St. Rita,2011
Shelton Johnson,24,DB,"6'0""",,R-Jr.,"Carrollton, Texas",Hebron,2011
Fred Willis,24,WR,"6'2""",,Fr.,"Milwaukee, Wis.",,2011
Adam Hampton,25,DB,"5'11""",,R-Sr.,"Lancaster, Wis.",Lancaster,2011
Antonio Fenelus,26,DB,"5'9""",,Sr.,"Boca Raton, Fla.",Boca Raton,2011
Derek Straus,26,RB,"6'0""",,Fr.,"Waunakee, Wis.",Waunakee,2011
Kyle Zuleger,27,RB,"5'11""",,R-So.,"Appleton, Wis.",East,2011
Montee Ball,28,RB,"5'11""",,Jr.,"Wentzville, Mo.",Timberland,2011
Coddye Ring-Noonan,28,LB,"5'10""",,R-Jr.,"Madison, Wis.",East,2011
Terrance Floyd,29,DB,"5'10""",,Fr.,"Boynton Beach, Fla.",Santaluces,2011
Miles Groeschel,29,RB,"5'10""",,Fr.,"Fond Du Lac, Wis.",,2011
Derek Landisch,30,LB,"5'11""",,Fr.,"Nashotah, Wis.",Arrowhead,2011
Connor Cummins,31,WR,"6'1""",,R-Fr.,"Kettering, Ohio",Archbishop Alter,2011
Josh Peprah,31,DB,"5'11""",,R-So.,"McKinney, Texas",Plano East,2011
Devin Gaulden,32,DB,"5'10""",,Fr.,"Miramar, Fla.",University School,2011
Jake Stengel,32,WR,"6'3""",,Fr.,"Sheboygan, Wis.",North,2011
Bradie Ewing,34,RB,"6'0""",,Sr.,"Richland Center, Wis.",Richland Center,2011
Derek Watt,34,LB,"6'2""",,Fr.,"Pewaukee, Wis.",Pewaukee,2011
Ethan Armstrong,36,LB,"6'2""",,R-So.,"Ottawa, Ill.",Ottawa Township,2011
Michael Caputo,37,DB,"6'1""",,Fr.,"Imperial, Pa.",West Allegheny,2011
Cameron Ontko,38,LB,"5'11""",,R-Fr.,"Seven Hills, Ohio",,2011
Darius Hillary,39,DB,"5'11""",,Fr.,"Cincinnati, Ohio",Sycamore,2011
Jesse Hayes,41,DL,"6'3""",,Fr.,"Cincinnati, Ohio",Moeller,2011
Greg Russo,41,LB,"6'3""",,Sr.,"Lake Mills, Wis.",,2011
Cody Byers,42,LB,"6'2""",,R-Fr.,"Centerville, Ohio",Archbishop Alter,2011
Jason Hengel,42,FB,"6'2""",,R-Fr.,"La Crosse, Wis.",,2011
Michael Trotter,43,DB,"6'0""",,R-Fr.,"Racine, Wis.",Marquette,2011
Chris Borland,44,LB,"5'11""",,So.,"Kettering, Ohio",Archbishop Alter,2011
Warren Herring,45,DL,"6'3""",,R-Fr.,"Fairview Heights, Ill.",Belleville East,2011
Willie Resop,46,LB,"6'1""",,R-Fr.,"Appleton, Wis.",,2011
Austin Traylor,46,TE,"6'3""",,Fr.,"Columbus, Ohio",Walnut Ridge,2011
Frank Tamakloe,47,DB,"6'3""",,R-Fr.,Washington D.C.,,2011
Jake Keefer,48,LB,"6'3""",,Fr.,"Woodville, Wis.",Baldwin-Woodville,2011
Jacob Pedersen,48,TE,"6'4""",,R-So.,"Menominee, Mich.",Menominee,2011
Sam Arneson,49,TE,"6'4""",,Fr.,"Merrill, Wis.",Merrill,2011
Josh Harrison,50,LB,"6'0""",,R-Fr.,"Huber Heights, Ohio",Wayne,2011
Tyler Dippel,51,DL,"6'4""",,R-So.,"Slinger, Wis.",Hartford,2011
Nick Hill,52,LB,"6'2""",,R-So.,"Milwaukee, Wis.",Washington,2011
Mike Taylor,53,LB,"6'2""",,R-Jr.,"Ashwaubenon, Wis.",Ashwaubenon,2011
Kyle Costigan,54,DL,"6'4""",,R-Fr.,"Wind Lake, Wis.",Muskego,2011
Eriks Briedis,55,DL,"6'4""",,R-Jr.,"Miami, Fla.",Country Day,2011
Riki Kodanko,56,OL,"6'9""",,R-Fr.,"Green Bay, Wis.",West De Pere,2011
James McGuire,56,LS,"6'1""",,So.,"St. Paul, Minn.",Cretin-Derham Hall,2011
Ben Ruechel,57,LB,"6'1""",,R-Fr.,"Oconto, Wis.",Oconto,2011
Jacob Ninneman,58,DL,"6'1""",,R-Fr.,"Oregon, Wis.",Oregon,2011
Ricky Wagner,58,OL,"6'6""",,R-Jr.,"West Allis, Wis.",Nathan Hale,2011
Marcus Trotter,59,LB,"6'0""",,R-Fr.,"Racine, Wis.",Marquette,2011
Jake Current,60,OL,"6'3""",,Sr.,"Troy, Ohio",Troy,2011
Tyler Marz,61,OL,"6'7""",,Fr.,"Springfield, Minn.",Springfield,2011
Kyle Wojta,62,LS,"6'2""",,R-Sr.,"Madison, Wis.",LaFollette,2011
Robert Burge,64,OL,"6'7""",,R-Jr.,"Holmen, Wis.",Holmen,2011
Jonathan Coon,65,OL,"6'7""",,Fr.,"Franklin, Wis.",Pius XI,2011
Peter Konz,66,OL,"6'5""",,R-Jr.,"Neenah, Wis.",Neenah,2011
Josh Oglesby,67,OL,"6'7""",,R-Sr.,"Milwaukee, Wis.",St. Francis,2011
Kevin Zeitler,70,OL,"6'4""",,Sr.,"Waukesha, Wis.",Wisconsin Lutheran,2011
Ray Ball,71,OL,"6'7""",,Fr.,"Columbus, Ohio",Westerville South,2011
Travis Frederick,72,OL,"6'4""",,R-So.,"Sharon, Wis.",Big Foot,2011
Dallas Lewallen,73,OL,"6'6""",,R-Fr.,"Berlin, Wis.",Berlin,2011
Konrad Zagzebski,74,DL,"6'3""",,R-Fr.,"Weston, Wis.",D.C. Everest,2011
Zac Matthias,75,OL,"6'5""",,R-So.,"Hemlock, Mich.",Hemlock,2011
Bryce Gilbert,77,DL,"6'1""",,R-Fr.,"Brookfield, Wis.",Central,2011
Rob Havenstein,78,OL,"6'8""",,R-Fr.,"Mount Airy, Md.",Linganore,2011
Ryan Groy,79,OL,"6'5""",,R-So.,"Middleton, Wis.",Middleton,2011
Brock DeCicco,81,TE,"6'5""",,R-So.,"Jefferson Hills, Pa.",Thomas Jefferson,2011
A.J. Jordan,81,WR,"6'0""",,Fr.,"Dayton, Ohio",Trotwood Madison,2011
Jake Byrne,82,TE,"6'4""",,Sr.,"Rogers, Ark.",Rogers,2011
Austin Maly,84,TE,"6'5""",,Fr.,"Waunakee, Wis.",Waunakee,2011
Brian Wozniak,85,TE,"6'4""",,R-So.,"Loveland, Ohio",Loveland,2011
Sherard Cadogan,86,TE,"6'3""",,R-Fr.,"Washington Township, N.J.",Camden Catholic,2011
Ethan Hemer,87,DL,"6'6""",,R-So.,"Medford, Wis.",Medford,2011
Marquis Mason,87,WR,"6'4""",,R-Fr.,"Madison, Wis.",East,2011
Chase Hammond,89,WR,"6'5""",,R-Fr.,"Youngstown, Ohio",Boardman,2011
Drew Meyer,90,P,"6'2""",,Fr.,"Hartland, Wis.",Arrowhead,2011
Jordan Kohout,91,DL,"6'3""",,R-So.,"Waupun, Wis.",Waupun,2011
Pat Muldoon,92,DL,"6'3""",,R-So.,"Mason, Ohio",Saint Xavier,2011
Louis Nzegwu,93,DL,"6'4""",,R-Sr.,"Platteville, Wis.",Platteville,2011
Kyle French,94,K,"6'1""",,R-Fr.,"Menomonee Falls, Wis.",Menomonee Falls,2011
Joseph McNamara,94,DL,"6'1""",,R-Fr.,"Pembroke Pines, Fla.",Cypress Bay,2011
Patrick Butrym,95,DL,"6'4""",,R-Sr.,"New Berlin, Wis.",Waukesha Catholic Memorial,2011
Beau Allen,96,DL,"6'3""",,So.,"Minnetonka, Minn.",Minnetonka,2011
Alec Lerner,96,K,"5'7""",,R-So.,"Omaha, Neb.",Burke,2011
Brendan Kelly,97,DL,"6'6""",,R-Jr.,"Eden Prairie, Minn.",Holy Angels,2011
Brad Nortman,98,P,"6'3""",,Sr.,"Brookfield, Wis.",Central,2011
James Adeyanju,99,DL,"6'2""",,Fr.,"Chicago, Ill.",Curie Metropolitan,2011
A.J. Jordan,1,WR,"6'0""",,Fr.,"Dayton, Ohio",Trotwood Madison,2012
Joel Stave,2,QB,"6'5""",,Fr.,"Greenfield, Wis.",Whitnall,2012
Kenzel Doe,3,WR,"5'8""",,So.,"Reidsville, N.C.",Reidsville,2012
Jared Abbrederis,4,WR,"6'2""",,Jr.,"Wautoma, Wis.",Wautoma,2012
Jon Budmayr,5,QB,"6'0""",,Jr.,"Woodstock, Ill",Marian Central Catholic,2012
Darius Hillary,5,DB,"5'11""",,Fr.,"Cincinnati, Ohio",Sycamore,2012
Danny O’Brien,6,QB,"6'3""",,Jr.,"Kernersville, N.C.",East Forsyth,2012
Michael Caputo,7,DB,"6'1""",,Fr.,"Imperial, Pa.",West Allegheny,2012
Isaiah Williams,8,WR,"6'1""",,So.,"Miami, Fla.",Monsignor Edward Pace,2012
Jordan Fredrick,9,WR,"6'3""",,Fr.,"Madison, Wis.",Memorial,2012
Chase Knox,9,QB,"6'1""",,Fr.,"San Diego, Calif.",Madison,2012
Curt Phillips,10,QB,"6'3""",,Sr.,"Kingsport, Tenn.",Sullivan South,2012
Devin Smith,10,DB,"5'11""",,Sr.,"Coppell, Texas",Coppell,2012
David Gilbert,11,DL,"6'4""",,Jr.,"Coral Springs, Fla.",Northeast,2012
Matt Salerno,12,P,"6'2""",,Fr.,"Chatfield, Minn.",Chatfield,2012
Dezmen Southward,12,DB,"6'2""",,Jr.,"Sunrise, Fla.",St. Thomas Aquinas,2012
Bart Houston,13,QB,"6'4""",,Fr.,"Dublin, Calif.",De La Salle,2012
Conor O’Neill,13,LB,"6'0""",,Jr.,"Delray Beach, Fla.",St. Thomas Aquinas,2012
Marcus Cromartie,14,DB,"6'1""",,Sr.,"Mansfield, Texas",Timberview,2012
Nate Hammon,14,DB,"6'1""",,Fr.,"Milton, Wis.",Milton,2012
Thad Armstrong,15,QB,"6'5""",,Fr.,"Ottawa, Ill.",Wheaton Warrenville South,2012
Jeff Duckworth,15,WR,"6'0""",,Jr.,"Cincinnati, Ohio",Princeton,2012
Reggie Love,16,WR,"6'3""",,Fr.,"Boynton Beach, Fla.",Spanish River,2012
Clay Rust,16,QB,"6'5""",,Fr.,"Sturtevant, Wis.",Shoreland Lutheran,2012
Jack Russell,17,K,"6'0""",,Fr.,"Waunakee, Wis.",Waunakee,2012
Lance Baretz,18,WR,"5'11""",,Fr.,"Franklin, Wis.",Franklin,2012
Dare Ogunbowale,18,DB,"5'11""",,Fr.,"Milwaukee, Wis.",Marquette,2012
Hugs Etienne,19,DB,"5'11""",,Fr.,"Fort Lauderdale, Fla.",South Plantation,2012
Joe Schobert,19,DB,"6'2""",,Fr.,"Waukesha, Wis.",West,2012
James White,20,RB,"5'10""",,Jr.,"Fort Lauderdale, Fla.",St. Thomas Aquinas,2012
Peniel Jean,21,DB,"5'11""",,So.,"West Palm Beach, Fla.",Palm Beach Central,2012
Darius Feaster,22,DB,"5'11""",,Jr.,"Mequon, Wis.",Homestead,2012
Jeffrey Lewis,22,RB,"6'2""",,So.,"Brookfield, Wis.",Central,2012
Vonte Jackson,23,RB,"6'0""",,Fr.,"Kenosha, Wis.",Bradford,2012
Jerry Ponio,23,DB,"6'1""",,Jr.,"Chicago, Ill.",St. Rita,2012
Shelton Johnson,24,DB,"6'0""",,Sr.,"Carrollton, Texas",Hebron,2012
Melvin Gordon,25,RB,"6'1""",,Fr.,"Kenosha, Wis.",Bradford,2012
Reggie Mitchell,26,DB,"6'0""",,Fr.,"Pittsburgh, Pa.",Shady Side Academy,2012
Derek Straus,26,RB,"6'0""",,Fr.,"Waunakee, Wis.",Waunakee,2012
Kyle Zuleger,27,RB,"5'11""",,Jr.,"Appleton, Wis.",East,2012
Montee Ball,28,RB,"5'11""",,Sr.,"Wentzville, Mo.",Timberland,2012
Leo Musso,28,DB,"5'10""",,Fr.,"Waunakee, Wis.",Waunakee,2012
Terrance Floyd,29,DB,"5'10""",,Fr.,"Boynton Beach, Fla.",Santaluces,2012
Alex Erickson,30,WR,"6'0""",,Fr.,"Darlington, Wis.",Darlington,2012
Derek Landisch,30,LB,"5'11""",,So.,"Nashotah, Wis.",Arrowhead,2012
Connor Cummins,31,WR,"6'1""",,So.,"Kettering, Ohio",Archbishop Alter,2012
Josh Peprah,31,LB,"5'11""",,Jr.,"McKinney, Texas",Plano East,2012
Devin Gaulden,32,DB,"5'10""",,So.,"Miramar, Fla.",University School,2012
Derek Watt,34,FB,"6'2""",,Fr.,"Pewaukee, Wis.",Pewaukee,2012
Ethan Armstrong,36,LB,"6'2""",,Jr.,"Ottawa, Ill.",Ottawa Township,2012
Kevin MacCudden,37,FB,"5'11""",,So.,"Waukesha, Wis.",West,2012
Eric Steffes,38,TE,"6'3""",,Fr.,"Mount Calvary, Wis.",St. Mary's Springs,2012
Jesse Hayes,41,DL,"6'3""",,Fr.,"Cincinnati, Ohio",Moeller,2012
Cody Byers,42,LB,"6'2""",,So.,"Centerville, Ohio",Archbishop Alter,2012
Alex Walker,42,TE,"6'5""",,Fr.,"Glendale, Wis.",Nicolet,2012
Michael Trotter,43,DB,"6'0""",,So.,"Racine, Wis.",Marquette,2012
Chris Borland,44,LB,"5'11""",,Jr.,"Kettering, Ohio",Archbishop Alter,2012
Warren Herring,45,DL,"6'3""",,So.,"Fairview Heights, Ill.",Belleville East,2012
Jake Rademacher,46,LB,"6'2""",,Fr.,"Wales, Wis.",Kettle Morraine,2012
Austin Traylor,46,TE,"6'3""",,Fr.,"Columbus, Ohio",Walnut Ridge,2012
Vince Biegel,47,LB,"6'3""",,Fr.,"Wisconsin Rapids, Wis.",Lincoln,2012
Jacob Pedersen,48,TE,"6'4""",,Jr.,"Menominee, Mich.",Menominee,2012
Sam Arneson,49,TE,"6'4""",,So.,"Merrill, Wis.",Merrill,2012
Josh Harrison,50,DL,"6'0""",,So.,"Huber Heights, Ohio",Wayne,2012
Tyler Dippel,51,DL,"6'4""",,Jr.,"Slinger, Wis.",Hartford,2012
Nick Hill,52,LB,"6'2""",,Jr.,"Milwaukee, Wis.",Washington,2012
Mike Taylor,53,LB,"6'2""",,Sr.,"Ashwaubenon, Wis.",Ashwaubenon,2012
Kyle Costigan,54,OL,"6'4""",,So.,"Wind Lake, Wis.",Muskego,2012
